seqname,samplename,species,seq,birdname,bandnumber,runname,overallrunname,collectiondate,time,area,site,microsite,sex,age,weight,freshness ,size_of_sample,urine,coccidiosis,captive,collector,ethanol?,captivity,coccidiosis_data
AG0320-109,RAIN14,kiwi,kiwi109,Chico,Mn.Arp7,22,109,43584,,National Kiwi Hatchery,Brooder-NKH,brooder,NA,18,379,fresh,,,FALSE,TRUE,,yes,captive,negative
AG0320-110,RAIN5,kiwi,kiwi110,Candie,Pk.Sap2,23,110,43583,,National Kiwi Hatchery,Brooder-NKH,brooder bed box,NA,15,310,very fresh,,,FALSE,TRUE,,yes,captive,negative
AG0320-111,RAIN16,kiwi,kiwi111,Hokey Pokey,Mt.Snz9,24,111,43585,,National Kiwi Hatchery,Brooder-NKH,bed box,NA,33,610,fresh,,,FALSE,TRUE,,yes,captive,negative
AG0320-112,RAIN25,kiwi,kiwi112,Roam,Mt.Wu52,25,112,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,967,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-113,RAIN6,kiwi,kiwi113,Chico,Mn.Arp7,26,113,43583,,National Kiwi Hatchery,Brooder-NKH,brooder bed box,NA,17,370,fresh,,,FALSE,TRUE,,yes,captive,negative
AG0320-114,RAIN35,kiwi,kiwi114,Basil,Mt.Sh43,27,114,43588,,National Kiwi Hatchery,Crash Palace,bed box,NA,NA,1005,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-115,RAIN23,kiwi,kiwi115,Guacamole,Pk.Tgo6,28,115,43586,,National Kiwi Hatchery,Crash Palace,bed box,NA,NA,961,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-116,RAIN13,kiwi,kiwi116,Guacamole,Pk.Tgo6,29,116,43584,,National Kiwi Hatchery,Crash Palace,bed box,NA,NA,961,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-117,RAIN18,kiwi,kiwi117,Saracen,Pk.Tmo10,30,117,43585,,National Kiwi Hatchery,Crash Palace,bed box,NA,NA,1115,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-118,RAIN28,kiwi,kiwi118,Saracen,Pk.Tmo10,31,118,43587,,National Kiwi Hatchery,Crash Palace,carry box,NA,NA,1115,unknown,,,TRUE,TRUE,,yes,captive,positive
AG0320-119,RAIN11,kiwi,kiwi119,Bennett,Mt.Chr6,32,119,43584,,National Kiwi Hatchery,Crash Palace,bed box,female,NA,1119,fresh,,,TRUE,TRUE,,yes,captive,positive
AG0320-120,RAIN21,kiwi,kiwi120,Lilo,Tk.Hol8,33,120,43585,,National Kiwi Hatchery,Brooder-NKH,bed box,NA,25,477,very fresh,,,FALSE,TRUE,,yes,captive,negative
