samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,genus,species
M01895:175:000000000-CJJKT:1:2104:13962:11817__kiwi2019__AG0320-421__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,,,Chrysozymaceae,,Bannozyma,
M01895:175:000000000-CJJKT:1:2110:6136:14413__kiwi2019__AG0320-075__ITS1F,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:20918:15944__kiwi2019__AG0320-276__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,,,,
M01895:175:000000000-CJJKT:1:2103:14105:19859__kiwi2019__AG0320-542__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Phaeotremellaceae,,Phaeotremella,Phaeotremella sp.
M01895:175:000000000-CJJKT:1:2111:14181:2373__kiwi2019__AG0320-677__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1111:11823:19542__kiwi2019__AG0320-006__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Nectriaceae,,,
M01895:175:000000000-CJJKT:1:2114:5602:14707__kiwi2019__AG0320-014__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:14380:3142__kiwi2019__AG0320-328__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1114:8595:9143__kiwi2019__AG0320-485__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Saccharomycetes,,Saccharomycetales,,,,,
M01895:175:000000000-CJJKT:1:2104:8706:18013__kiwi2019__AG0320-628__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:12262:11483__kiwi2019__AG0320-522__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1102:14995:8040__kiwi2019__AG0320-769__ITS1F,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:22370:17493__kiwi2019__AG0320-664__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:1102:2196:14251__kiwi2019__AG0320-440__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Mycosphaerellaceae,,Ramularia,
M01895:175:000000000-CJJKT:1:1111:14837:16846__kiwi2019__AG0320-031__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Clavicipitaceae,,Claviceps,Claviceps paspali
M01895:175:000000000-CJJKT:1:1102:21262:19946__kiwi2019__AG0320-693__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,Herpotrichiellaceae,,Capronia,
M01895:175:000000000-CJJKT:1:2109:18681:2979__kiwi2019__AG0320-696__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2109:22058:8930__kiwi2019__AG0320-090__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricostilbomycetes,,Agaricostilbales,,Kondoaceae,,Kondoa,Kondoa aeria
M01895:175:000000000-CJJKT:1:1102:11648:14577__kiwi2019__AG0320-701__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Malasseziomycetes,,Malasseziales,,Malasseziaceae,,Malassezia,Malassezia restricta
M01895:175:000000000-CJJKT:1:1108:7270:8821__kiwi2019__AG0320-025__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Sordariomycetidae,Sordariales,,Lasiosphaeriaceae,,,
M01895:175:000000000-CJJKT:1:2102:20134:9297__kiwi2019__AG0320-312__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Malasseziomycetes,,Malasseziales,,Malasseziaceae,,Malassezia,Malassezia globosa
M01895:175:000000000-CJJKT:1:2103:13112:6293__kiwi2019__AG0320-183__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,,,
M01895:175:000000000-CJJKT:1:2114:23418:14626__kiwi2019__AG0320-078__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Cladosporiaceae,,Rachicladosporium,
M01895:175:000000000-CJJKT:1:1109:12556:13484__kiwi2019__AG0320-006__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,,,,,,
M01895:175:000000000-CJJKT:1:1110:13476:23518__kiwi2019__AG0320-180__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,,,,,,
M01895:175:000000000-CJJKT:1:2114:12638:8730__kiwi2019__AG0320-698__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Leucosporidiales,,Leucosporidiaceae,,Leucosporidium,Leucosporidium golubevii
M01895:175:000000000-CJJKT:1:1101:9644:24023__kiwi2019__AG0320-720__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Teratosphaeriaceae,,Neocatenulostroma,
M01895:175:000000000-CJJKT:1:1104:4837:22803__kiwi2019__AG0320-663__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Filobasidiales,,Piskurozymaceae,,,
M01895:175:000000000-CJJKT:1:1114:20068:13131__kiwi2019__AG0320-177__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Neodevriesiaceae,,Neodevriesia,Neodevriesia capensis
M01895:175:000000000-CJJKT:1:2105:21417:22966__kiwi2019__AG0320-825__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Penicillium,
M01895:175:000000000-CJJKT:1:2113:17901:9069__kiwi2019__AG0320-784__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Mycosphaerellaceae,,,
